vin,wmi,make,model,year,plant,region,verified_by,verified_at,source_type,confidence_cap
AAVVWABC7JX232885,AAV,Volkswagen,Tiguan,2018,X,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
KMHLG7893GA466459,KMH,Hyundai,Santa Fe,2016,A,Korea,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
WBAVW34K9F481010,WBA,BMW,318i,2019,F,Germany,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AFAABCDE1PF382381,AFA,Ford,Focus,2023,F,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
KMHMZ0127RB791681,KMH,Hyundai,Santa Fe,2024,B,Korea,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
WA1G7T6D0F140771,WA1,Audi,Q5,2013,F,Germany,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
KMHKU4569GC228925,KMH,Hyundai,i30,2016,C,Korea,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
WBA8A91P0F104429,WBA,BMW,X3,2023,F,Germany,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
KMHHY1231AD294250,KMH,Hyundai,Santa Fe,2010,D,Korea,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
JTDKU40E90646126,JTD,Toyota,Camry,2014,0,Japan,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
WA18R55C4F870331,WA1,Audi,Q3,2012,F,Germany,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
JTDLX51S26295328,JTD,Toyota,RAV4,2025,6,Japan,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
ABMBMW127MB853373,ABM,BMW,X5,2021,B,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
WA1H8U7HXD830081,WA1,Audi,A6,2017,D,Germany,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AHTEB6CB6FB315241,AHT,Toyota,Hilux,2015,B,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
ABMBMW120PM206712,ABM,BMW,X5,2023,M,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1HGCD4562EA828723,1HG,Honda,Civic,2014,A,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AFAFGH1J0FH624344,AFA,Ford,Fiesta,2015,H,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AAVVW7896SV077273,AAV,Volkswagen,Polo,2025,V,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
JTDBR32S15762933,JTD,Toyota,RAV4,2025,5,Japan,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AAVVW1232HV967828,AAV,Volkswagen,Golf,2017,V,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AFA123459NG296968,AFA,Ford,Ranger,2022,G,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1FAJ1RMC8M277569,1FA,Ford,F-150,2012,M,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
WBAUX12EXF614111,WBA,BMW,X3,2014,F,Germany,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AAVVW4561BV405899,AAV,Volkswagen,Golf,2011,V,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
WBAEV51A6F189115,WBA,BMW,318i,2010,F,Germany,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AFAABCDE5TF154491,AFA,Ford,Focus,2026,F,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
JTDMY62J06528755,JTD,Toyota,Yaris,2018,6,Japan,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
JTDLX51H01412165,JTD,Toyota,RAV4,2017,1,Japan,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
KMHLG7896HC001972,KMH,Hyundai,Sonata,2017,C,Korea,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1HGEF7895TB893728,1HG,Honda,CR-V,2026,B,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AFAABCDEXSG430852,AFA,Ford,Ranger,2025,G,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
KMHMZ0128RD421781,KMH,Hyundai,Sonata,2024,D,Korea,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
WA18R55D6E053895,WA1,Audi,A4,2013,E,Germany,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
ABMBMW781KW476329,ABM,BMW,X3,2019,W,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
WBAUX12S8F887320,WBA,BMW,318i,2025,F,Germany,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
WA1DF34H4N138054,WA1,Audi,A6,2017,N,Germany,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AHTEB6CB9FC635728,AHT,Toyota,Corolla,2015,C,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
WBAEV51D4F658571,WBA,BMW,X5,2013,F,Germany,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
ABMBMW343CW397474,ABM,BMW,3 Series,2012,W,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
KMHKU4560BC389219,KMH,Hyundai,Tucson,2011,C,Korea,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AHTEB6DB9GB291761,AHT,Toyota,Fortuner,2016,B,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1FAB3GKP9M375952,1FA,Ford,Explorer,2023,M,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
JTDMY62JX1377972,JTD,Toyota,Yaris,2018,1,Japan,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1HGEF7895JD866529,1HG,Honda,HR-V,2018,D,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AFA123452FH839637,AFA,Ford,Ranger,2015,H,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
KMHKU4562BD508544,KMH,Hyundai,Tucson,2011,D,Korea,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AHTEB6FB3SB347456,AHT,Toyota,Fortuner,2025,B,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AFA678901FH114113,AFA,Ford,Everest,2015,H,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
WA18R55R7F409204,WA1,Audi,A6,2024,F,Germany,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1HGAB1231AC735969,1HG,Honda,HR-V,2010,C,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
WBA8A91F6K912760,WBA,BMW,X3,2015,K,Germany,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
WA1DF34H4N848371,WA1,Audi,A4,2017,N,Germany,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AHTEB6CBXDB237348,AHT,Toyota,Yaris,2013,B,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AAVVWABC4NX120910,AAV,Volkswagen,Tiguan,2022,X,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AAVVW4564KW567245,AAV,Volkswagen,Golf,2019,W,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AFAABCDEXTG357662,AFA,Ford,Focus,2026,G,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AFA678900HF220924,AFA,Ford,Fiesta,2017,F,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AFAABCDE3DF959472,AFA,Ford,Fiesta,2013,F,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
ABMBMW567EM684779,ABM,BMW,5 Series,2014,M,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1FAK2SLJ4K239078,1FA,Ford,Mustang,2018,K,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AAVVW1238GX952267,AAV,Volkswagen,Polo,2016,X,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
WA18R55A1N887301,WA1,Audi,A4,2010,N,Germany,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
KMHMZ0127RD528529,KMH,Hyundai,Tucson,2024,D,Korea,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
WBA8A91A4A165794,WBA,BMW,318i,2010,A,Germany,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
JTDLX51H00217125,JTD,Toyota,Corolla,2017,0,Japan,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AAVVW7893FX255232,AAV,Volkswagen,Tiguan,2015,X,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
JTDKU40P45186188,JTD,Toyota,RAV4,2023,5,Japan,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
ABMBMW780CW085948,ABM,BMW,5 Series,2012,W,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
ABMBMW561RM154698,ABM,BMW,X3,2024,M,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
WBA8A91H4M839857,WBA,BMW,320i,2017,M,Germany,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
ABMBMW126RB455188,ABM,BMW,3 Series,2024,B,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
WBA8A91G6F332976,WBA,BMW,X3,2016,F,Germany,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AFA123454EH938992,AFA,Ford,Fiesta,2014,H,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AFA678900MH866088,AFA,Ford,Focus,2021,H,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
ABMBMW788SM886993,ABM,BMW,X5,2025,M,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AHTEB6GB5TB140227,AHT,Toyota,Hilux,2026,B,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
JTDLX51H11909145,JTD,Toyota,Yaris,2017,1,Japan,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
ABMBMW562AB559484,ABM,BMW,5 Series,2010,B,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
JTDMY62A15053744,JTD,Toyota,Corolla,2010,5,Japan,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AAVVW1230JW063959,AAV,Volkswagen,Polo,2018,W,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
WA1G7T6M2N160352,WA1,Audi,A4,2021,N,Germany,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
WBA8A91J9F992915,WBA,BMW,X5,2018,F,Germany,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AAVVW1235EV348670,AAV,Volkswagen,Golf,2014,V,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1FAJ1RMB5N421948,1FA,Ford,Mustang,2011,N,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
WBAEV51C3M552420,WBA,BMW,318i,2012,M,Germany,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1HGCD4567PA489136,1HG,Honda,Civic,2023,A,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AAVVW4566GV695905,AAV,Volkswagen,Tiguan,2016,V,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AFA123458DF838064,AFA,Ford,Everest,2013,F,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1FAB3GKL3N293435,1FA,Ford,F-150,2020,N,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AHTEB6CB5GC386037,AHT,Toyota,Hilux,2016,C,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AAVVW4564NW937548,AAV,Volkswagen,Touran,2022,W,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1HGCD4560HD304585,1HG,Honda,Civic,2017,D,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
JTDLX51K10894751,JTD,Toyota,Yaris,2019,0,Japan,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
JTDBR32N45655477,JTD,Toyota,RAV4,2022,5,Japan,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
JTDMY62E16318323,JTD,Toyota,Corolla,2014,6,Japan,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
WA1H8U7SXF379162,WA1,Audi,Q3,2025,F,Germany,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
WBA8A91R3M773502,WBA,BMW,X5,2024,M,Germany,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1FAP8THB1K796127,1FA,Ford,Mustang,2011,K,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
WBAUX12R3M314160,WBA,BMW,X5,2024,M,Germany,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1HGCD4563PB780484,1HG,Honda,Civic,2023,B,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
JTDKU40M86430566,JTD,Toyota,Yaris,2021,6,Japan,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AHTEB6FB5CD382571,AHT,Toyota,Yaris,2012,D,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
WBA8A91C7M650380,WBA,BMW,X3,2012,M,Germany,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
WBA8A91M4K426688,WBA,BMW,318i,2021,K,Germany,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
ABMBMW781EM934452,ABM,BMW,3 Series,2014,M,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1FAB3GKKXM841232,1FA,Ford,Explorer,2019,M,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1FAJ1RMA3K815534,1FA,Ford,Mustang,2010,K,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
WA18R55K9D158428,WA1,Audi,A6,2019,D,Germany,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AHTEB6DB9SC656992,AHT,Toyota,Corolla,2025,C,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
WA1G7T6D3F583199,WA1,Audi,A4,2013,F,Germany,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
KMHKU4567JB498278,KMH,Hyundai,Santa Fe,2018,B,Korea,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
WBAEV51B3F686413,WBA,BMW,320i,2011,F,Germany,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AAVVWABC2BV341557,AAV,Volkswagen,Touran,2011,V,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
JTDBR32T55112954,JTD,Toyota,Corolla,2026,5,Japan,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
ABMBMW125JB258971,ABM,BMW,3 Series,2018,B,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AHTEB6CB3HD438907,AHT,Toyota,Hilux,2017,D,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
ABMBMW567CM431894,ABM,BMW,5 Series,2012,M,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
WA1H8U7P8E362219,WA1,Audi,Q5,2023,E,Germany,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AHTEB6GB1EC992605,AHT,Toyota,Corolla,2014,C,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AAVVW7897LW033259,AAV,Volkswagen,Polo,2020,W,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1FAK2SLH2F957069,1FA,Ford,Explorer,2017,F,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1FAP8THF9M688421,1FA,Ford,F-150,2015,M,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1HGGH0128GC907046,1HG,Honda,HR-V,2016,C,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1HGAB1236DD957941,1HG,Honda,CR-V,2013,D,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
KMHHY1236BC817205,KMH,Hyundai,Tucson,2011,C,Korea,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1FAP8THK8M632126,1FA,Ford,Explorer,2019,M,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AAVVW7893SV783634,AAV,Volkswagen,Polo,2025,V,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1HGEF7893EA064116,1HG,Honda,HR-V,2014,A,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AFAABCDE0CH691404,AFA,Ford,Ranger,2012,H,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
KMHLG7896KA315608,KMH,Hyundai,Sonata,2019,A,Korea,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AFAFGH1J6DH690930,AFA,Ford,Everest,2013,H,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AAVVWABCXDV387785,AAV,Volkswagen,Tiguan,2013,V,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
WA1DF34S1F353307,WA1,Audi,A6,2025,F,Germany,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AFAFGH1J8LG926367,AFA,Ford,Ranger,2020,G,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AAVVWABC2MW296729,AAV,Volkswagen,Touran,2021,W,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
KMHKU4568DC814592,KMH,Hyundai,Sonata,2013,C,Korea,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
WBAUX12EXM634824,WBA,BMW,X3,2014,M,Germany,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
WBA8A91A4F310634,WBA,BMW,X3,2010,F,Germany,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
ABMBMW781TB570039,ABM,BMW,5 Series,2026,B,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AFAABCDE7JG284621,AFA,Ford,Fiesta,2018,G,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
WA18R55E2E132503,WA1,Audi,Q3,2014,E,Germany,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
WBAVW34G5M815790,WBA,BMW,320i,2016,M,Germany,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
WA18R55A2N417169,WA1,Audi,Q3,2010,N,Germany,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AHTEB6FB0AC799311,AHT,Toyota,Corolla,2010,C,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AFAABCDE3CH233145,AFA,Ford,Fiesta,2012,H,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1FAK2SLC4K275812,1FA,Ford,F-150,2012,K,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
KMHKU4569TA319232,KMH,Hyundai,Santa Fe,2026,A,Korea,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
KMHHY1233JC063274,KMH,Hyundai,Tucson,2018,C,Korea,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1HGGH0121PD221053,1HG,Honda,HR-V,2023,D,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1FAP8THR0M346260,1FA,Ford,Mustang,2024,M,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
KMHHY1231ED763441,KMH,Hyundai,Sonata,2014,D,Korea,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
